NZTM_X NZTM_Y Vs30
1773391 5896146 150.01
1568832.55 5189233.18 150.03
1884160.39 5785206.34 150.03
1778471.7 5582289.01 150.05
1570655.42 5175753.73 150.06
1890832.3 5816777.58 150.06
1887679.01 5773901.36 150.07
1830094.52 5867140.37 150.08
1748545 5972178 150.14
1746498 5970671 150.17
1879044.98 5822737 150.17
1923439.17 5614300.65 150.23
1753989.6 5915918.16 150.26
1873315.36 5821770.29 150.27
1746416.9 5968854.2 150.33
1804235.49 5818168.69 150.36
1799835.75 5813527.35 150.37
1376589.8 4908664.59 150.39
1878322 5826389 150.39
1874063 5821399 150.4
1750175 5915710 150.45
1898813.82 5783617.89 150.46
1746222.55 5920888.88 150.49
1875242 5821475 150.51
1753159.13 5934129.77 150.53
1620317 6117651 150.58
1570698.91 5179977.22 150.63
1887702.95 5773895.84 150.64
1884454.9 5773026.6 150.7
1569081.16 5189154.8 150.71
1879644.77 5819782.32 150.74
1884205.44 5773991.02 150.8
1568683.67 5189214.72 150.83
1729997.98 6026320.67 150.83
1772149.45 5897947.79 150.88
1878174.72 5819831.04 150.9
1747448 5972243 150.95
1790593.61 5827229.2 150.97
1565373.05 5177849.8 150.99
1773674 5896185 151.02
1887684.67 5773912.6 151.06
1768471.41 5913388.67 151.12
1880822.35 5780206.59 151.12
1762180.04 5431407.85 151.13
1571702.76 5177590.65 151.15
1751981.52 5931729.49 151.16
1620420 6118203 151.2
2038192.52 5707306.17 151.2
1746218 5969321 151.21
1748574.61 5970576.71 151.23
1755517.66 5913148.29 151.23
1863837.76 5849826.6 151.26
1923454.77 5614294.99 151.26
1870671 5820001 151.31
1886835.58 5820485.57 151.33
1875992.48 5823583.81 151.35
1797560 5823039 151.36
1799541.2 5814668.03 151.38
1745298.24 5916661.21 151.41
1982525.7 5669121.85 151.44
1728112.93 5941561.32 151.52
1717984.03 6051437.53 151.54
1879645.52 5819721.31 151.56
1872785.24 5822020.27 151.6
1740475 5964856.84 151.63
1772937.49 5891163.43 151.64
1405510.56 4914754.78 151.68
1568555.33 5189079.18 151.69
1568681.84 5182886.66 151.77
1571219.45 5187446.52 151.77
1728105.54 5941958.34 151.79
1571345.57 5189673.9 151.81
1882092.55 5782354.82 151.81
1887538.82 5822275.43 151.82
1884465.3 5773110.2 151.85
1746292.2 5969357 151.87
1773625 5896897 151.91
1857309 5841228 151.97
1569459 5183393 152.01
1774686.63 5578508.43 152.05
1801960.69 5802275.27 152.07
1726915 6029197 152.09
