NZTM_X NZTM_Y Vs30
1774083.65 5898492.66 58.78
1774551.73 5898108.47 62.53
1891240.1 5819369.46 70.39
1265081 5004358 72.12
1719394 6033472 86.68
1768470.91 5913363.16 101.01
1891222.56 5819376.93 102.84
1875381.42 5824153.81 106.91
1889428.34 5820790.09 109.03
1877609.93 5822200.52 112.1
1889527.97 5820671.15 115.43
1887514.62 5822311.47 115.52
1774395.09 5897646.57 117.87
1876546.44 5822367.03 118.19
1834325.31 5867578.47 120.23
1876175.36 5821949.45 120.3
1879534.41 5824586 120.42
1773983.82 5898620.39 120.89
1773393.94 5898401.76 121.27
1773117.87 5898194.19 122.2
1681948 6027364 122.52
1827805 5875344 122.75
1773452.65 5898404 123.16
1876462.66 5822264.28 123.25
1887651.96 5773926.02 123.35
1774384.82 5897657.33 123.41
1887871.48 5773925.8 123.85
1773089.03 5898215.42 124.75
1888329.39 5821641.16 124.79
1889476.48 5820800.32 125.23
1773109.52 5898221.11 125.35
1773472 5898408.96 125.55
1377387.25 4906617.52 125.56
1773613.01 5899018.58 125.94
1773381.26 5898456.07 127.1
1785813 5871745 127.16
2036941.12 5708541.67 127.69
1797002.73 5817644.82 127.91
1891068.5 5818549.01 127.92
1875388.02 5824086.93 128.02
1877609.35 5822156.87 128.26
1773506.59 5898354.9 128.64
1820796.4 5872688.8 128.76
1773416.8 5898353.67 129.01
1785815 5871751 129.05
1833289.96 5864767.33 129.26
1773432.93 5898389.74 129.55
1877879.32 5823174.69 129.82
1872302.26 5822460.76 129.86
1773483.53 5898368.43 130.32
1873268 5821792 130.48
1627304 5438113 130.64
1820632.2 5872595.6 130.92
1772361.74 5898000.4 130.96
1773395.24 5899261.56 131.05
1873470.4 5817550.15 131.11
1681873 6027341 131.45
1773097.17 5898191.5 131.52
1891062.81 5818562.88 131.66
1769573.01 5880101.85 131.84
1773115.97 5898105.54 131.92
1406180.13 4914805 132.04
1769529.28 5880099.18 132.06
1888458.95 5821484.16 132.62
1878997.03 5821064.82 132.69
1773486.84 5898427.09 132.84
1718887 6034079 133.27
1873604.27 5821551.61 133.41
1756688.28 5921537.31 133.59
1884729.8 5823336.77 133.61
1873772.16 5821478.31 133.91
1879547.76 5823337.48 133.97
1773135.03 5898110.81 134.31
1773285.01 5899696.08 134.38
1756609.78 5921445.66 134.88
1406457.94 4913577.62 135.08
1873715.03 5821495.55 135.17
1779795.58 5901936.13 135.43
1873515 5821674 135.77
1889527.58 5820692.99 135.93
1889400.87 5820708 136.02
1747306 5972240 136.04
1881972.27 5781159.31 136.1
1890362.78 5820266.02 136.24
1887793.01 5773873.9 136.34
1773385.81 5899488.55 136.46
1888881.41 5821087.11 136.49
1769833.4 5880149.99 137.33
1627251 5438250 137.53
1877598.45 5822171.57 137.56
1772911.27 5898037.47 137.78
1928311.33 5606571.37 137.81
1889576.14 5820841.69 137.85
1889485.04 5820652.81 138.41
1721564.58 6043010.01 138.54
1767903 5915447 138.65
1773024.24 5898027.5 138.71
1885734.98 5823307.88 138.97
1873263.55 5821754.65 139.2
1627155 5438583 139.22
1721590.8 6043009.65 139.32
1886219.44 5769050.93 139.33
1721157.35 6043718.94 139.46
1720765 6044987 139.72
1405549 4914584 139.92
1887811.1 5773923.05 139.99
2039329.22 5707377.18 140.24
1879034.1 5820529.75 140.37
1889556.25 5820575.07 140.4
1669313.02 6117554.69 140.44
1717939.38 6051414.83 140.55
1820787.4 5872474 140.63
1772295.58 5898067.69 140.64
1890071.24 5820375.35 140.68
1887797.83 5773920.19 140.88
1891325.47 5814672.05 141.07
1888651.57 5821280.57 141.23
1885476.29 5823414.33 141.29
1405559.63 4914502.48 141.44
1891273.49 5814727.48 141.49
1721577.22 6043008.72 141.9
1377438.58 4905809.47 142.26
1763485.74 5430114.9 142.29
1874501.32 5821318.34 142.33
1833276.1 5864756.3 142.36
1785825 5871723 142.38
1376461.28 4904067.56 142.43
1891202.97 5814780.68 142.49
1721563.27 6043046.63 142.51
1873443 5821712 142.53
1407020.57 4914789.83 142.78
1874622.35 5820004.26 142.85
1627898 5438292 142.99
1887801.7 5773905.6 143.06
1885615.07 5823344.15 143.13
1879295 5823214.5 143.25
1879666.56 5819726.43 143.41
1772328.6 5897993.87 143.46
1405558 4914573 143.47
1627252 5438672 143.52
1773653 5896912 143.81
1773278.65 5899778.52 143.93
1753696.48 5917190.09 143.98
1889465.09 5820641.53 144.09
1873436 5821681 144.14
1669354.46 6117561.03 144.2
1721589.46 6043044.06 144.46
1627897 5438562 144.47
1717929.92 6051520.35 144.54
1873270.75 5821802.07 144.86
1873899 5821433 145
1889994.88 5820419.54 145.04
1744191 5915840 145.08
1887787.68 5773906.1 145.34
1887800.76 5774117.35 145.35
1890172.84 5820328.33 145.45
1773596 5896198 145.51
1873541 5821624 145.59
1756750.82 5921596.26 145.62
1762727.42 5907717.06 145.69
1805120 5813135 145.83
1889555.41 5820633.28 145.85
1879645 5825078 145.89
1627611 5438451 146.02
1785830 5871728 146.02
1627785 5438978 146.08
1890667.58 5814571.23 146.15
1890761.84 5814706.03 146.15
1721162.64 6043708.88 146.22
1879462.67 5825545.64 146.49
1887784.68 5773817.07 146.53
1886969.53 5822765.92 146.54
1887916.88 5821947.52 146.83
1759053.59 5907553.41 146.84
1772214.88 5898040.92 146.85
1406182.13 4914800.48 146.86
1932749.87 5619621.29 146.88
1717957.11 6051523.31 147.16
1879534.09 5824759.14 147.19
1873801.56 5818771.21 147.21
1895547.97 5817289.61 147.26
1875117.13 5823595.64 147.36
1721568.98 6043067.63 147.57
1771507.27 5899342.42 147.6
1875268.17 5820743.56 147.78
1717959.55 6051502.2 148.02
1884250.94 5785261.05 148.32
2036973.51 5708495.34 148.45
1376453.04 4903610.47 148.55
1747306 5972304 148.63
1879525.27 5824759.44 148.74
1405543 4914563 148.78
1888541.95 5821383.86 148.87
1879453.08 5825562.41 148.91
1773640 5896917 149.21
1773647.35 5896929.7 149.21
1748322.55 5926874.38 149.21
1772347.26 5898044.88 149.28
1789803 5839404 149.37
1765842 5908707 149.38
1874622 5819973.51 149.53
1627631 5438144 149.55
1773712 5896208 149.57
1756726.5 5921570.14 149.57
1879473.11 5825567.06 149.63
1884414.62 5824466.28 149.76
1879647 5825068 149.9
1721589.78 6043067.35 149.92
1773391 5896146 150.01
1830094.52 5867140.37 150.08
1873315.36 5821770.29 150.27
1874063 5821399 150.4
1762180.04 5431407.85 151.13
1875992.48 5823583.81 151.35
1717984.03 6051437.53 151.54
1872785.24 5822020.27 151.6
1882092.55 5782354.82 151.81
1887538.82 5822275.43 151.82
1773625 5896897 151.91
1772236.19 5898065.34 152.14
1729945.06 6026275.14 152.43
1762437 5906837 152.46
1729965 6026357.53 152.53
1783291.97 5869024.85 152.56
1889128.77 5820909.63 152.57
1762163.92 5431435.32 152.64
1756691.83 5921532.98 152.74
1874238.35 5821517.01 152.9
1405528 4914586 152.97
