CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing,NZTM_X,NZTM_Y, Vs30,,,,
CPT_36260_measurement_num_0,172.629889701464,-43.524556588159,2480090.99732335,5742476.99649906,1570090.8,5180864.88,35.07,,,,
CPT_57844_measurement_num_0,172.630682122918,-43.5305058253972,2480157.97172973,5741816.31016574,1570157.77,5180204.45,58.56,,,,
CPT_57843_measurement_num_0,172.631202856057,-43.5308974799655,2480200.25672903,5741772.98209712,1570200.04,5180161.14,61.74,,,,
CPT_5432_measurement_num_0,172.660452778898,-43.5223230259792,2482560.80966689,5742735.61346921,1572559.64,5181123.47,78.48,,,,
CPT_10162_measurement_num_0,172.629533220659,-43.5245723616635,2480062.18608345,5742475.11667436,1570062,5180863,80.34,,,,
CPT_27260_measurement_num_0,172.635377245727,-43.5288350301811,2480536.69529364,5742003.60019202,1570536.34,5180391.68,81.13,,,,
CPT_75906_measurement_num_0,172.63868031135,-43.4918844997759,2480785.99763605,5746110.00035703,1570785.43,5184496.51,81.83,,,,
CPT_56699_measurement_num_0,172.624345928532,-43.532954325926,2479647.00393091,5741542.00154519,1569647.01,5179930.23,82.55,,,,
CPT_55789_measurement_num_0,172.623673790415,-43.5336092448733,2479593.00045123,5741468.9953142,1569593.03,5179857.25,82.95,,,,
CPT_32752_measurement_num_0,172.636853435513,-43.5412823212374,2480662.01724194,5740621.20149879,1570661.66,5179009.82,85.25,,,,
CPT_9343_measurement_num_0,172.638216696025,-43.5365275475887,2480769.91780385,5741149.94264557,1570769.5,5179538.36,88.76,,,,
CPT_156936_measurement_num_0,172.63413533572,-43.5145294222671,2480429.36282826,5743592.53496619,1570429,5181980,90.35,,,,
CPT_56698_measurement_num_0,172.62448216335,-43.5329187564977,2479657.99833549,5741546.00271283,1569658,5179934.23,90.37,,,,
CPT_23661_measurement_num_0,172.633969294614,-43.5317630333315,2480424.3007664,5741677.79809326,1570424,5180066,92.12,,,,
CPT_32646_measurement_num_0,172.633853174564,-43.5319527410451,2480415.00644002,5741656.68024691,1570414.71,5180044.89,92.77,,,,
CPT_13848_measurement_num_0,172.707000035902,-43.6096000060704,2486357.83738661,5733052.98055139,1576355.5,5171444.84,96.46,,,,
CPT_2059_measurement_num_0,172.616069310749,-43.5412534959752,2478982.21300514,5740616.91957501,1568982.51,5179005.48,97.4,,,,
CPT_38327_measurement_num_0,172.625466666845,-43.5366416353596,2479739.42556458,5741132.74098465,1569739.41,5179521.13,98.8,,,,
CPT_38326_measurement_num_0,172.625480515065,-43.5369638521509,2479740.7047995,5741096.94716145,1569740.69,5179485.35,98.8,,,,
CPT_34376_measurement_num_0,172.625581243451,-43.5332464235127,2479747.00164701,5741509.99587543,1569746.97,5179898.24,98.82,,,,
CPT_32633_measurement_num_0,172.632226186225,-43.5343020375133,2480284.63681592,5741395.09360382,1570284.4,5179783.4,99.01,,,,
CPT_182810_measurement_num_0,172.710347824957,-43.6104266516601,2486628.42481626,5732962.07090763,1576625.98,5171353.98,99.26,,,,
CPT_55588_measurement_num_0,172.634913469422,-43.5352687006265,2480502.31804558,5741288.64523463,1570502,5179677,99.41,,,,
CPT_56700_measurement_num_0,172.623948624778,-43.5331780357835,2479615.00064945,5741517.00301763,1569615.02,5179905.24,100.76,,,,
CPT_60003_measurement_num_0,172.638130266219,-43.5333880373034,2480761.42626749,5741498.71791101,1570761,5179887,101.52,,,,
CPT_194503_measurement_num_0,172.713685526403,-43.6090104274469,2486897.3430184,5733120.34336903,1576894.78,5171512.2,102.18,,,,
CPT_27560_measurement_num_0,172.632730113964,-43.5299852238774,2480323.26797747,5741874.87737858,1570323,5180263,102.51,,,,
CPT_12271_measurement_num_0,172.654517236024,-43.548421761582,2482092.89176829,5739834.02504187,1572092,5178223,102.58,,,,
CPT_27281_measurement_num_0,172.634968948029,-43.5286357240174,2480503.5931197,5742025.59972907,1570503.25,5180413.67,102.87,,,,
CPT_182822_measurement_num_0,172.710802998574,-43.6100100128167,2486665.0120295,5733008.48821023,1576662.55,5171400.38,103.46,,,,
CPT_27632_measurement_num_0,172.635133919425,-43.529044863238,2480517.12690916,5741980.20178659,1570516.78,5180368.29,105.25,,,,
CPT_33259_measurement_num_0,172.628304954297,-43.5062049850293,2479953.83540682,5744515.3114632,1569953.63,5182902.41,105.26,,,,
CPT_802_measurement_num_0,172.649665809055,-43.5541008115807,2481703.47496224,5739201.4413742,1571702.76,5177590.65,106.71,,,,
CPT_47993_measurement_num_0,172.637924347152,-43.519253685255,2480737.99705671,5743068.99475867,1570737.53,5181456.67,106.87,,,,
CPT_706_measurement_num_0,172.616992531008,-43.5735134162425,2479073.19197023,5737033.1135219,1569073.6,5175423.06,108.54,,,,
CPT_5710_measurement_num_0,172.633690463669,-43.5412502609599,2480406.36740049,5740623.65134826,1570406.11,5179012.26,108.95,,,,
CPT_34377_measurement_num_0,172.625111693525,-43.5331458382761,2479708.99727003,5741521.00138603,1569708.98,5179909.24,109.49,,,,
CPT_55820_measurement_num_0,172.637366706349,-43.532573255667,2480699.31503314,5741588.97483752,1570698.91,5179977.22,109.99,,,,
CPT_27272_measurement_num_0,172.637497150616,-43.5283372630984,2480707.82378705,5742059.64641863,1570707.4,5180447.71,110.03,,,,
